M9 —— 步態（★★★ 承重、連續、動態觸地）　模式：播放 march_w0.45.json

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、
      **地面淨空且留出走動空間**、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2401 狀態=S
✅ 機身姿態 roll -3.0° pitch -1.7°
✅ 前後膝反號（後腿往前彎，原廠預設）

軌跡檔：原地踏步　duty 0.8 ω 0.45 d_step 0.0 x_off 0.04 g_c 0.08 z_sag 0.0360

總時長 31.0 秒 = 站起來 8.5 + 步態 16.0 + 坐回去 6.5
✅ 在承重上限 60 秒之內

步態最大命令速度 4.35 rad/s（br3_knee_pitch）　上限 14.0
✅ 在上限內（⚠️ 保護門檻 --vmax 16.0 必須高於這個，否則會誤中止）
✅ 步態全程在機構限位內

增益：腿 kp 250.0 kd 5.0　輪 **kp 0** kd 0.5（純阻尼，全程不鎖）
保護：力矩 ABAD 50 / HIP 50 / KNEE 70、硬上限 120
      誤差 0.6 rad、速度 16.0 rad/s、傾角 ±20°、迴圈間隔 250 ms

✅ 已凍結 mc_ctrl（T）

     t           階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch      輪速
 13.65         GAIT    250     0.1060    26.43   fl3_knee_pitch   +5.6   +1.9    3.32
 13.90         GAIT    250     0.2578    43.75   fr3_knee_pitch   +9.7   +4.3    4.37
 14.15         GAIT    250     0.1226    28.98   bl3_knee_pitch   +2.4   -0.9    1.02
 14.40         GAIT    250     0.1054    27.02   fr3_knee_pitch   +5.3   -4.4    2.85
 14.66         GAIT    250     0.1214    22.17   fr3_knee_pitch   +0.7   -0.0    0.95
 14.91         GAIT    250     0.1265    33.47     fr1_hip_roll   -7.5   +5.6    2.55
 15.17         GAIT    250     0.0662    14.93   bl3_knee_pitch   -1.6   -0.5    3.23
 15.42         GAIT    250     0.1064    26.38   br3_knee_pitch   -1.9   -2.6    2.22
 15.67         GAIT    250     0.1168    27.41   fl3_knee_pitch   -1.2   -0.1    4.82
 15.92         GAIT    250     0.1061    25.79   fl3_knee_pitch   +7.0   +3.2    2.84
 16.18         GAIT    250     0.2349    34.76   fr3_knee_pitch   +6.4   +1.7    4.46
 16.43         GAIT    250     0.1109    27.21   bl3_knee_pitch   +2.7   -1.6    0.90
 16.68         GAIT    250     0.2188    49.49   br3_knee_pitch   +6.6   -5.2    2.40
 16.93         GAIT    250     0.1235    26.78   fr3_knee_pitch   -1.0   +0.5    1.59
 17.18         GAIT    250     0.1452    32.88     fr1_hip_roll   -7.9   +5.7    3.12
 17.43         GAIT    250     0.1130    17.17   br3_knee_pitch   -0.6   -0.4    1.56
 17.69         GAIT    250     0.0989    25.45   fl3_knee_pitch   -3.1   -3.8    2.80
 17.94         GAIT    250     0.0925    20.34   fl3_knee_pitch   +0.5   +0.4    2.58
 18.19         GAIT    250     0.1097    30.31     fl1_hip_roll   +7.6   +4.2    3.06
 18.44         GAIT    250     0.1007    23.79   br3_knee_pitch   +4.3   -0.3    4.49
 18.70         GAIT    250     0.1033    25.36   bl3_knee_pitch   +3.1   -2.1    1.54
 18.95         GAIT    250     0.2965    54.36   br3_knee_pitch   +6.1   -3.6    1.92
 19.20         GAIT    250     0.1064    26.71   fr3_knee_pitch   -2.6   +1.5    1.90
 19.45         GAIT    250     0.2497    45.69   fl3_knee_pitch   -7.5   +4.8    4.21
 19.71         GAIT    250     0.1217    28.98   br3_knee_pitch   -0.7   -1.3    1.30
 19.96         GAIT    250     0.1110    27.54   fl3_knee_pitch   -4.8   -5.1    3.13
 20.22         GAIT    250     0.1260    19.57   fl3_knee_pitch   +1.6   -0.1    0.99
 20.47         GAIT    250     0.1349    35.16     fl1_hip_roll   +8.5   +5.4    2.61
 20.73         GAIT    250     0.0605    13.06   fl3_knee_pitch   +2.7   -0.6    2.88
 20.98         GAIT    250     0.0961    23.58   bl3_knee_pitch   +3.5   -2.8    2.46
 21.23         GAIT    250     0.1145    28.56   fr3_knee_pitch   +3.1   -0.5    4.38
 21.48         GAIT    250     0.1019    25.28   fr3_knee_pitch   -4.1   +2.5    2.31
 21.73         GAIT    250     0.2456    38.46   fl3_knee_pitch   -5.1   +2.2    4.82
 21.98         GAIT    250     0.1193    29.40   br3_knee_pitch   -1.3   -1.7    1.31
 22.23         GAIT    250     0.2381    47.74   bl3_knee_pitch   -5.3   -4.6    2.51
 22.48         GAIT    250     0.0908    24.00   fl3_knee_pitch   +2.7   +0.5    1.79
 22.74         GAIT    250     0.1501    27.12   fr3_knee_pitch   +8.6   +3.3    2.79
 22.99         GAIT    250     0.0737    19.38   bl3_knee_pitch   +1.7   +0.1    1.57
 23.24         GAIT    250     0.0995    26.35   fr3_knee_pitch   +4.3   -2.4    1.83
 23.49         GAIT    250     0.0614    15.10   bl3_knee_pitch   +2.3   -0.5    1.63
 23.75         GAIT    250     0.0725    18.21   bl3_knee_pitch   -0.2   +0.1    0.26
 24.00         GAIT    250     0.0653    15.18   fl3_knee_pitch   +0.6   -0.4    0.16
 24.25         GAIT    250     0.0563    13.98   fl3_knee_pitch   +0.8   -0.6    0.02
 24.51  BACK_crouch    250     0.0617    15.50   bl3_knee_pitch   +0.7   -0.7    0.00
 24.76  BACK_crouch    250     0.0416    12.26   fr3_knee_pitch   +0.8   -0.7    0.10
 25.01  BACK_crouch    250     0.0485    13.39   bl3_knee_pitch   +0.7   -0.9    0.32
 25.26  BACK_crouch    250     0.0446    13.72   bl3_knee_pitch   +0.7   -1.1    0.18
 25.52  BACK_crouch    250     0.0367    14.05   fr3_knee_pitch   +0.7   -1.0    0.54
 25.77  BACK_crouch    250     0.0492    15.42   fr3_knee_pitch   +0.9   -1.0    0.41
 26.02 HOLDB_crouch    250     0.0671    17.39   bl3_knee_pitch   +0.8   -1.0    0.26
 26.27 HOLDB_crouch    250     0.0705    17.70   bl3_knee_pitch   +0.7   -1.1    0.00
 26.53 HOLDB_crouch    250     0.0705    17.61   bl3_knee_pitch   +0.7   -1.1    0.04
 26.78 HOLDB_crouch    250     0.0705    17.76   bl3_knee_pitch   +0.7   -1.1    0.00
 27.03 HOLDB_crouch    250     0.0705    17.67   bl3_knee_pitch   +0.6   -1.1    0.00
