M9 —— 步態（★★★ 承重、連續、動態觸地）　模式：播放 march_w0.4.json

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、
      **地面淨空且留出走動空間**、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2435 狀態=S
✅ 機身姿態 roll -4.8° pitch -1.9°
✅ 前後膝反號（後腿往前彎，原廠預設）

軌跡檔：原地踏步　duty 0.8 ω 0.4 d_step 0.0 x_off 0.04 g_c 0.08 z_sag 0.0360

總時長 31.0 秒 = 站起來 8.5 + 步態 16.0 + 坐回去 6.5
✅ 在承重上限 60 秒之內

步態最大命令速度 3.88 rad/s（bl3_knee_pitch）　上限 14.0
✅ 在上限內（⚠️ 保護門檻 --vmax 16.0 必須高於這個，否則會誤中止）
✅ 步態全程在機構限位內

增益：腿 kp 250.0 kd 5.0　輪 **kp 0** kd 0.5（純阻尼，全程不鎖）
保護：力矩 ABAD 50 / HIP 50 / KNEE 70、硬上限 120
      誤差 0.6 rad、速度 16.0 rad/s、傾角 ±20°、迴圈間隔 250 ms

✅ 已凍結 mc_ctrl（T）

     t           階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch      輪速
 13.65         GAIT    250     0.1282    31.90   br3_knee_pitch   -1.5   -1.3    1.32
 13.90         GAIT    250     0.1576    33.27   bl3_knee_pitch   -6.4   -5.7    1.77
 14.15         GAIT    250     0.0656    17.98   br3_knee_pitch   +1.2   -0.2    1.93
 14.41         GAIT    250     0.1307    34.73     fl1_hip_roll   +8.0   +4.8    3.35
 14.66         GAIT    250     0.1222    23.89   br3_knee_pitch   +4.7   +0.4    4.59
 14.92         GAIT    250     0.1124    27.90   bl3_knee_pitch   +2.9   -1.8    1.74
 15.17         GAIT    250     0.2138    45.82   br3_knee_pitch   +8.0   -6.1    2.90
 15.42         GAIT    250     0.1027    21.39   fr3_knee_pitch   -0.2   -0.4    1.05
 15.68         GAIT    250     0.1352    35.47     fr1_hip_roll   -7.2   +5.1    2.40
 15.93         GAIT    250     0.0964    21.11   bl3_knee_pitch   -3.2   +0.1    3.56
 16.18         GAIT    250     0.1210    29.58   br3_knee_pitch   -2.0   -1.7    1.83
 16.44         GAIT    250     0.2478    50.11   bl3_knee_pitch   -7.3   -5.5    3.23
 16.69         GAIT    250     0.1141    23.35   fl3_knee_pitch   +1.9   -0.1    1.74
 16.94         GAIT    250     0.1425    35.71     fl1_hip_roll   +9.5   +5.9    3.00
 17.20         GAIT    250     0.0855    18.29   br3_knee_pitch   +4.0   +0.1    3.61
 17.45         GAIT    250     0.1082    27.01   bl3_knee_pitch   +2.8   -1.8    2.07
 17.70         GAIT    250     0.2636    51.95   br3_knee_pitch   +7.5   -5.1    3.53
 17.95         GAIT    250     0.1133    24.41   fr3_knee_pitch   -1.0   +0.1    1.94
 18.21         GAIT    250     0.1429    35.73     fr1_hip_roll   -7.8   +5.7    2.42
 18.46         GAIT    250     0.0789    16.93   bl3_knee_pitch   -2.5   +0.1    3.25
 18.72         GAIT    250     0.1170    28.11   br3_knee_pitch   -2.2   -2.0    2.06
 18.97         GAIT    250     0.2850    50.41   bl3_knee_pitch   -6.5   -4.3    3.20
 19.23         GAIT    250     0.1041    26.44   fl3_knee_pitch   +3.1   +0.9    2.40
 19.48         GAIT    250     0.1389    34.35     fl1_hip_roll  +10.8   +6.1    2.94
 19.73         GAIT    250     0.0591    14.40   fl3_knee_pitch   +3.2   +0.2    2.81
 19.99         GAIT    250     0.1053    26.11   bl3_knee_pitch   +2.9   -2.1    2.62
 20.24         GAIT    250     0.2985    51.93   br3_knee_pitch   +6.5   -3.5    3.27
 20.49         GAIT    250     0.1041    27.30   fr3_knee_pitch   -2.3   +1.2    2.19
 20.74         GAIT    250     0.1394    34.74     fr1_hip_roll   -8.9   +6.2    2.90
 20.99         GAIT    250     0.0611    15.66   fr3_knee_pitch   -2.1   +0.4    2.73
 21.25         GAIT    250     0.1144    27.74   br3_knee_pitch   -2.2   -2.1    2.24
 21.50         GAIT    250     0.2857    46.32   bl3_knee_pitch   -4.9   -2.6    4.42
 21.75         GAIT    250     0.1087    27.91   fl3_knee_pitch   +4.3   +1.8    2.92
 22.00         GAIT    250     0.1629    33.90     fl1_hip_roll  +10.2   +5.5    2.97
 22.26         GAIT    250     0.0607    18.01   fl3_knee_pitch   +2.6   +0.4    2.06
 22.51         GAIT    250     0.1080    27.19   bl3_knee_pitch   +3.5   -2.5    2.98
 22.76         GAIT    250     0.1748    29.89   fr3_knee_pitch   +4.6   -1.5    3.57
 23.01         GAIT    250     0.0819    21.74   fr3_knee_pitch   -1.8   +0.5    1.41
 23.26         GAIT    250     0.0960    21.35   bl3_knee_pitch   -2.7   +1.4    1.22
 23.52         GAIT    250     0.0598    15.08   fr3_knee_pitch   +0.1   -0.5    0.72
 23.77         GAIT    250     0.0766    19.06   fl3_knee_pitch   -1.0   -1.1    0.64
 24.02         GAIT    250     0.0760    17.17   bl3_knee_pitch   -0.2   -0.9    0.42
 24.28         GAIT    250     0.0579    14.58   bl3_knee_pitch   +0.4   -0.6    0.11
 24.53  BACK_crouch    250     0.0586    14.86   fr3_knee_pitch   +0.4   -0.7    0.00
 24.78  BACK_crouch    250     0.0445    13.17   bl3_knee_pitch   +0.4   -0.8    0.11
 25.03  BACK_crouch    250     0.0525    13.88   fr3_knee_pitch   +0.4   -1.0    0.14
 25.28  BACK_crouch    250     0.0521    14.52   bl3_knee_pitch   +0.3   -1.1    0.09
 25.54  BACK_crouch    250     0.0379    14.60   bl3_knee_pitch   +0.3   -1.1    0.21
 25.79  BACK_crouch    250     0.0510    15.72   bl3_knee_pitch   +0.3   -0.9    0.29
 26.05 HOLDB_crouch    250     0.0675    16.89   bl3_knee_pitch   +0.4   -1.0    0.13
 26.30 HOLDB_crouch    250     0.0675    16.90   bl3_knee_pitch   +0.4   -1.0    0.00
 26.56 HOLDB_crouch    250     0.0675    16.93   bl3_knee_pitch   +0.4   -1.0    0.00
 26.81 HOLDB_crouch    250     0.0675    16.96   bl3_knee_pitch   +0.4   -1.0    0.00
 27.06 HOLDB_crouch    250     0.0675    16.96   bl3_knee_pitch   +0.4   -1.0    0.00
 27.32 HOLDB_crouch    250     0.0675    16.93   bl3_knee_pitch   +0.4   -1.0    0.00
 27.57     BACK_LIE    250     0.0657    16.65   bl3_knee_pitch   +0.4   -1.0    0.04
 27.82     BACK_LIE    250     0.0563    14.35   fl3_knee_pitch   +0.1   -1.3    1.23
 28.07     BACK_LIE    250     0.0517    14.13   br3_knee_pitch   -0.3   -1.8    2.04
 28.33     BACK_LIE    250     0.0595    16.61   bl3_knee_pitch   -1.5   -2.0    1.81
 28.58     BACK_LIE    250     0.0501    13.58   bl3_knee_pitch   -3.4   -2.2    1.36
 28.83     BACK_LIE    250     0.0265     6.50   bl3_knee_pitch   -4.7   -2.4    0.21
 29.08    RAMP_DOWN    240     0.0175     4.20    fl2_hip_pitch   -4.8   -2.4    0.00
 29.33    RAMP_DOWN    209     0.0175     3.60    fl2_hip_pitch   -4.8   -2.5    0.00
 29.59    RAMP_DOWN    177     0.0175     3.08    fl2_hip_pitch   -4.9   -2.5    0.00
 29.84    RAMP_DOWN    145     0.0179     2.56    fl2_hip_pitch   -4.9   -2.5    0.00
 30.09    RAMP_DOWN    114     0.0187     2.11    fl2_hip_pitch   -5.0   -2.5    0.00
 30.35    RAMP_DOWN     82     0.0195     1.71   bl3_knee_pitch   -5.0   -2.5    0.00
 30.60    RAMP_DOWN     50     0.0202     1.00   bl3_knee_pitch   -5.1   -2.6    0.00
 30.85    RAMP_DOWN     19     0.0298     0.83   bl3_knee_pitch   -5.3   -2.7    0.05

============================================================================
✅ 序列完整跑完

關節                     峰值τ      門檻      用掉      剔除跳點
fl1_hip_roll        -37.71      50     75%         1
fl2_hip_pitch       +25.52      50     51%         1
fl3_knee_pitch      +40.50      70     58%         0
fr1_hip_roll        +37.14      50     74%         0
fr2_hip_pitch       +25.86      50     52%         0
fr3_knee_pitch      +40.85      70     58%         0
bl1_hip_roll        -34.31      50     69%         0
bl2_hip_pitch       +31.02      50     62%         0
bl3_knee_pitch      -52.38      70     75%         0
br1_hip_roll        +33.90      50     68%         0
br2_hip_pitch       +28.36      50     57%         0
br3_knee_pitch      -53.97      70     77%         0
  ★ 共剔除 2 筆孤立反號跳點（單筆、與前後兩筆都反號且更大）。
    正常量級是每趟 0~3 筆；**上到十位數就不是感測雜訊，要查 SHM 解碼**。
    原始值都還在 JSON 的 `samples` 裡，沒有被改掉。

迴圈：6200 次 / 31.00s = 200 Hz（目標 200）　最長單次間隔 14 ms @ t=10.98s

輪               淨轉動 rad     ≈ 滾動 mm
fl4_foot         1.2241         118
fr4_foot        -1.6972        -163
bl4_foot        -0.5494         -53
br4_foot        -0.4917         -47
  ⚠️ 這是總量，**包含懸空空轉** —— 模擬顯示空轉可佔八成。
     要判讀必須拆成觸地/懸空，事後用 `w` 欄的 position 做。

============================================================================
★ 現在腿還在承重。[Enter] 依原路徑坐回趴姿；[Ctrl-C] 立刻放手（會塌）

   > ✅ 已坐回趴姿並降到零增益

📊 /home/robot/m_logs/M9_20260902_111340.json

⏸ mc_ctrl 仍在凍結中（PID 2435）。確認狗安全後：
      sudo kill -CONT 2435

📄 /home/robot/m_logs/M9_20260902_111340.log
