M9 —— 步態（★★★ 承重、連續、動態觸地）　模式：播放 A_kp250_walk.json

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、
      **地面淨空且留出走動空間**、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2411 狀態=S
✅ 機身姿態 roll -5.3° pitch +2.2°
✅ 前後膝反號（後腿往前彎，原廠預設）

軌跡檔：前進　duty 0.8 ω 1.4 d_step 0.1 x_off -0.03 g_c 0.048 z_sag 0.0360

RL policy：cpg_rl_max_v2_3_np.npz　preset v2.3　obs 66 act 10　sha 5a9de707c38b
  指令 vx 0.3 wz 0　混合比例 1　起步淡入 50 步
✅ 基準步態與 policy 訓練基準一致（說兩次）
✅ 推論 0.18 ms/步（預算 10 ms）

互動模式　最壞情況 52.0 秒：
  站起來 6.5 ＋ 等①10 ＋ 降增益 1.5 ＋ 淡入 3.0 ＋ 走 10 ＋ 淡出 3.0 ＋ 升增益 1.5 ＋ 等③10 ＋ 趴下 6.5
  （等②就是「走」那段；三個等待逾時都是自動往下走，不是中止）
✅ 在承重上限 60 秒之內

步態最大命令速度 9.61 rad/s（bl3_knee_pitch）　上限 14.0
✅ 在上限內（⚠️ 保護門檻 --vmax 18.0 必須高於這個，否則會誤中止）
✅ 步態全程在機構限位內

增益：步態 ABAD 60 / HIP·KNEE 250　kd 2.0（站立段一律 250）　輪 **kp 0** kd 0.5（純阻尼）
保護：力矩 ABAD 50 / HIP 50 / KNEE 70、硬上限 120
      誤差 0.6 rad、速度 18.0 rad/s、傾角 ±20°、迴圈間隔 250 ms

✅ 已凍結 mc_ctrl（T）

     t           階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch      輪速
 11.87        READY    250     0.0632    15.93   bl3_knee_pitch   +0.6   -1.4    0.00

  ▸ READY 結束（按下 Enter），進入 KP_DOWN

 12.12      KP_DOWN    250     0.0632    15.89   bl3_knee_pitch   +0.6   -1.4    0.00
 12.37      KP_DOWN    250     0.0632    15.89   bl3_knee_pitch   +0.6   -1.4    0.00
 12.62      KP_DOWN    250     0.0632    15.90   bl3_knee_pitch   +0.6   -1.4    0.00
 12.87      KP_DOWN    250     0.0632    15.85   bl3_knee_pitch   +0.5   -1.4    0.03
 13.12      KP_DOWN    250     0.0632    15.94   bl3_knee_pitch   +0.5   -1.4    0.01
 13.37      KP_DOWN    250     0.0632    15.85   bl3_knee_pitch   +0.5   -1.4    0.02

  ▸ KP_DOWN 結束（時間到），進入 GAIT_IN

 13.62      GAIT_IN    250     0.0638    16.15   bl3_knee_pitch   +0.5   -1.4    0.00
 13.88      GAIT_IN    250     0.0690    17.28   bl3_knee_pitch   +0.5   -1.5    0.09
 14.13      GAIT_IN    250     0.0715    17.24   fr3_knee_pitch   +0.9   -1.4    0.59
 14.38      GAIT_IN    250     0.0744    18.57   bl3_knee_pitch   -0.5   -1.2    1.16
 14.63      GAIT_IN    250     0.1071    27.43   br3_knee_pitch   +1.9   -2.6    8.30
 14.88      GAIT_IN    250     0.1317    29.20   fr3_knee_pitch   +1.3   -1.0    3.48
 15.14      GAIT_IN    250     0.1110    18.84    fl2_hip_pitch   +0.3   -1.4    0.75
 15.39      GAIT_IN    250     0.1438    35.09   br3_knee_pitch   +3.8   -3.2    1.23
 15.64      GAIT_IN    250     0.1192    26.05   fl3_knee_pitch   +1.6   -1.6    1.47
 15.89      GAIT_IN    250     0.1127    19.55   fr3_knee_pitch   +1.1   -0.8    1.22
