M9 —— 步態（★★★ 承重、連續、動態觸地）　模式：播放 A_kp250_walk.json

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、
      **地面淨空且留出走動空間**、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2434 狀態=S
✅ 機身姿態 roll -1.1° pitch -0.4°
✅ 前後膝反號（後腿往前彎，原廠預設）

軌跡檔：前進　duty 0.8 ω 1.4 d_step 0.1 x_off -0.03 g_c 0.048 z_sag 0.0360

RL policy：cpg_rl_max_v2_3_np.npz　preset v2.3　obs 66 act 10　sha 5a9de707c38b
  指令 vx 0.3 wz 0　混合比例 1　起步淡入 50 步
✅ 基準步態與 policy 訓練基準一致（說兩次）
✅ 推論 0.16 ms/步（預算 10 ms）

互動模式　最壞情況 110.0 秒：
  站起來 6.5 ＋ 等①15 ＋ 降增益 1.5 ＋ 淡入 2.0 ＋ 走 60 ＋ 淡出 2.0 ＋ 升增益 1.5 ＋ 等③15 ＋ 趴下 6.5
  （等②就是「走」那段；三個等待逾時都是自動往下走，不是中止）
✅ 在承重上限 120 秒之內

步態最大命令速度 9.61 rad/s（bl3_knee_pitch）　上限 14.0
✅ 在上限內（⚠️ 保護門檻 --vmax 18.0 必須高於這個，否則會誤中止）
✅ 步態全程在機構限位內

增益：步態 ABAD 60 / HIP·KNEE 250　kd 2.0（站立段一律 250）　輪 **kp 0** kd 0.5（純阻尼）
保護：力矩 ABAD 50 / HIP 50 / KNEE 70、硬上限 120
      誤差 0.6 rad、速度 18.0 rad/s、傾角 ±20°、迴圈間隔 250 ms
🎮 遙控：READY 按 Enter → 站好等鍵；**按住 W 走、放開站好、空白鍵急停**；站好時 Enter 收工

✅ 已凍結 mc_ctrl（T）

     t           階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch      輪速
 11.37        READY    250     0.0618    15.40   fl3_knee_pitch   +1.0   -1.6    0.14
 11.63        READY    250     0.0614    15.34   fl3_knee_pitch   +1.0   -1.6    0.00
 11.88        READY    250     0.0614    15.34   fl3_knee_pitch   +1.1   -1.7    0.04
 12.13        READY    250     0.0614    15.32   fl3_knee_pitch   +1.1   -1.7    0.00
 12.39        READY    250     0.0614    15.35   fl3_knee_pitch   +1.1   -1.7    0.00
 12.64        READY    250     0.0614    15.30   fl3_knee_pitch   +1.1   -1.7    0.00
 12.89        READY    250     0.0614    15.35   fl3_knee_pitch   +1.1   -1.7    0.00
 13.14        READY    250     0.0614    15.32   fl3_knee_pitch   +1.0   -1.7    0.00
 13.40        READY    250     0.0614    15.35   fl3_knee_pitch   +1.0   -1.7    0.00
 13.65        READY    250     0.0614    15.37   fl3_knee_pitch   +1.0   -1.7    0.00
 13.90        READY    250     0.0614    15.32   fl3_knee_pitch   +1.0   -1.7    0.03
 14.15        READY    250     0.0614    15.35   fl3_knee_pitch   +1.0   -1.7    0.00
 14.41        READY    250     0.0614    15.38   fl3_knee_pitch   +1.0   -1.7    0.00
 14.66        READY    250     0.0614    15.35   fl3_knee_pitch   +1.0   -1.7    0.00
 14.91        READY    250     0.0614    15.36   fl3_knee_pitch   +1.0   -1.7    0.00
 15.17        READY    250     0.0614    15.37   fl3_knee_pitch   +1.0   -1.7    0.00
 15.42        READY    250     0.0614    15.37   fl3_knee_pitch   +1.0   -1.7    0.00
 15.67        READY    250     0.0614    15.35   fl3_knee_pitch   +1.0   -1.7    0.00
 15.92        READY    250     0.0614    15.32   fl3_knee_pitch   +1.0   -1.7    0.00
 16.18        READY    250     0.0614    15.37   fl3_knee_pitch   +1.0   -1.7    0.00
 16.43        READY    250     0.0614    15.38   fl3_knee_pitch   +1.0   -1.7    0.00
